input,output
Hello,Hi
Hey,hi
hello,hey
good afternoon,good afternoon!
Hey,hello
good morning,good morning
hey,hello
Hi,hi!
song,song
good evening,good evening!!!
quit, Thank you!! I would love to talk with u more.....
What's the time?,time
What's the weather?,weather
I would like to google,search
i would like to listen to a song,song
duniya,song
photo song,song
hi,Hey
Can i listen to a song?,song
song, song
weather,weather
search,search
time,time
time\,time
tujse rab diktha hein,song
Can i listen to a good song,song
alone song,song
i want to know the weather,weather
time,time
What's your name?,ASH A.K.A Artificial Super Human created by TRKE Company owned by Mast. Krishvin Raam. M and Mast. Tharak Enjamur 
Bonjour,Bonjour!
germany weather report,weather
weather of india,weathermovie,movie
what's your name,ASH A.K.A Artificial Super Human created by TRKE Company owned by Mast. Krishvin Raam. M and Mast. Tharak Enjamur
hear,song
time,time
mk,fvsanmfv
blah,blah
no,no
Hear,song
Song,song
Weather,weather
weather,weather
google,search
Google,search
search,search
Search,search
Time,time
time,time
order me a pizza,search
name,ASH A.K.A Artificial Super Human created by TRKE Company owned by Mast. Krishvin Raam. M and Mast. Tharak Enjamur
telltime,time
telllllltime,time
telllllllllllllltime,time
can u play me a good song,song
order something,order
order me a burger from burgerking,no
play song,song
